               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075711,             0.02561,            0.020941,             0.61437,             0.59574,             0.65828,             0.31983,            0.052076,           0.0091044,           0.0056685,            0.070169,           0.0033145,           0.0033145
                   1,            0.052766,            0.017143,           0.0055551,             0.72902,             0.74095,             0.78498,             0.39329,            0.043512,           0.0071871,           0.0028505,             0.03984,           0.0063188,           0.0063188
                   2,            0.048025,            0.014368,            0.003669,             0.59315,             0.79229,             0.71544,             0.38798,            0.042912,           0.0068067,           0.0023424,           0.0091814,            0.008993,            0.008993
                   3,             0.04084,            0.013396,           0.0028184,              0.9032,             0.89383,             0.93637,             0.63057,            0.032479,           0.0059756,            0.001446,            0.008515,            0.008515,            0.008515
                   4,            0.036839,            0.013077,           0.0021282,             0.92286,             0.90775,             0.94499,              0.6591,            0.029871,           0.0057049,            0.001448,            0.008515,            0.008515,            0.008515
                   5,            0.033786,            0.012017,           0.0018115,             0.94005,             0.89706,             0.94099,             0.61617,            0.030207,            0.005546,           0.0010598,             0.00802,             0.00802,             0.00802
                   6,            0.031824,            0.011973,           0.0017819,              0.9254,             0.92325,             0.95456,             0.68606,            0.026542,           0.0054386,          0.00098155,            0.007525,            0.007525,            0.007525
                   7,            0.030249,             0.01118,           0.0013342,             0.95481,             0.92653,             0.95874,             0.70618,            0.025173,           0.0052252,          0.00086633,             0.00703,             0.00703,             0.00703
                   8,            0.028787,            0.010819,           0.0011431,             0.96449,             0.92191,             0.96749,             0.67358,            0.026705,            0.005138,          0.00084201,            0.006535,            0.006535,            0.006535
                   9,            0.026952,             0.01054,           0.0011458,             0.95492,             0.93072,             0.96544,             0.71127,            0.024347,           0.0050499,          0.00075414,             0.00604,             0.00604,             0.00604
                  10,            0.026157,            0.010393,           0.0010334,             0.96333,             0.94263,             0.97377,              0.7266,            0.023091,           0.0047549,          0.00057971,            0.005545,            0.005545,            0.005545
                  11,            0.025231,            0.010109,          0.00083197,             0.94173,              0.9232,             0.96055,             0.71291,            0.023348,           0.0050222,          0.00065564,             0.00505,             0.00505,             0.00505
                  12,            0.024017,            0.010067,          0.00080144,             0.95708,             0.95158,             0.97377,             0.74808,            0.021835,           0.0046292,          0.00045402,            0.004555,            0.004555,            0.004555
                  13,            0.023103,           0.0097992,           0.0006493,             0.97271,              0.9326,             0.97438,              0.7476,            0.021361,           0.0045211,          0.00047711,             0.00406,             0.00406,             0.00406
                  14,             0.02242,           0.0096911,          0.00056269,             0.95502,             0.95419,             0.97378,             0.75092,            0.020974,           0.0045315,          0.00041691,            0.003565,            0.003565,            0.003565
                  15,             0.02176,           0.0092659,           0.0004552,             0.96204,             0.94816,             0.97414,             0.76823,            0.020152,           0.0043562,          0.00037604,             0.00307,             0.00307,             0.00307
                  16,            0.020496,           0.0092799,          0.00043311,             0.96949,             0.95009,             0.97867,             0.78106,            0.019623,           0.0042648,          0.00026348,            0.002575,            0.002575,            0.002575
                  17,            0.019864,           0.0089968,          0.00034575,             0.96049,             0.96101,             0.97995,             0.78421,            0.018903,           0.0042441,          0.00029104,             0.00208,             0.00208,             0.00208
                  18,            0.019368,           0.0089156,          0.00036158,             0.97012,              0.9632,             0.98079,             0.79765,            0.018375,           0.0040867,          0.00026174,            0.001585,            0.001585,            0.001585
                  19,            0.018336,            0.008574,          0.00024861,             0.97197,             0.95837,             0.98057,             0.79813,            0.018005,           0.0041105,          0.00022778,             0.00109,             0.00109,             0.00109
